fps;frame time;memory used; memory allocated;fps;drawCalls;frameTime;renderTime;gpuFrameTimeCounter;averageGpuFrameTime
136116.1000000015;1701.32;0.30000000074505806;42.14;53.09;1734.10;0;0;94208;97806.50649330353
137116.1000000015;1709.00;0.3999999985098839;43.93;53.09;1714.29;0;0;94304;97795.24739821636
138116.6000000015;1678.16;0.30000000074505806;42.49;53.09;1754.39;0;0;96256;97790.41972876033
139116.6000000015;1680.00;0.30000000074505806;41.78;53.09;1595.74;0;0;102016;97772.58335753037
140117.1000000015;1709.15;0.30000000074505806;43.57;53.09;1694.92;0;0;98528;97748.44368932038
141117.1000000015;1714.00;0.3999999985098839;42.17;53.09;1764.71;0;0;98304;97731.72490851868
142117.1000000015;1676.00;0.19999999925494194;43.92;53.09;1764.71;0;0;96096;97729.53921143523
143117.30000000075;1664.67;0.30000000074505806;42.46;53.09;1724.14;0;0;90624;97722.27363420428
144117.80000000075;1703.15;0.19999999925494194;41.04;53.09;1704.55;0;0;104640;97720.33054732528
145118;1705.66;0.5;42.83;53.09;1694.92;0;0;158016;97717.57126547818
146118.30000000075;1693.49;0.30000000074505806;41.43;53.09;1704.55;0;0;92160;97718.36674660271
147118.30000000075;1704.00;0.19999999925494194;43.22;53.09;1621.62;0;0;92544;97714.72716776354
148118.30000000075;1700.00;0.30000000074505806;41.80;53.09;1694.92;0;0;98560;97703.9918586151
149118.40000000224;1699.83;0.30000000074505806;43.58;53.09;1724.14;0;0;102304;97706.6335658363
150118.6000000015;1688.66;0.30000000074505806;42.73;53.09;1754.39;0;0;93024;97700.58875095438
151119.30000000075;1703.81;0.29999999701976776;41.31;53.09;1785.71;0;0;102688;97691.1682512042
152119.80000000075;1671.16;0.3999999985098839;43.06;53.09;1538.46;0;0;104448;97694.64510818766
153119.80000000075;1701.00;0.09999999776482582;41.67;53.09;1675.98;0;0;94240;97702.04257206208
154119.80000000075;1710.00;0.10000000149011612;43.46;53.09;1714.29;0;0;95936;97696.29027640128
155119.80000000075;1717.00;0.19999999925494194;42.05;53.09;1744.19;0;0;95392;97694.91397864165
156120.30000000075;1698.15;0.30000000074505806;43.83;53.09;1675.98;0;0;96704;97693.97125546771
157120.40000000224;1706.83;0.30000000074505806;42.45;53.09;1675.98;0;0;91264;97693.19805120316
158120.69999999925;1710.49;0.19999999925494194;44.24;53.09;1666.67;0;0;102176;97686.56395403409
159120.90000000224;1698.66;0.30000000074505806;42.81;53.09;1796.41;0;0;96256;97680.41437744797
